Цвет текстиля,Formula,Выдано швеям,Выдачи,Где используется,Закупки,Комментарии,Место покупки,Номер,Общий метраж купленный,Поставки,Связанные выдачи,Тип ткани,Швеи связанные
Льняной холст,0,0,,,,,Дом текстиля,Jas Thomas-C3,0,,,Лен,
Тиффани дешевый,0,0,,,,,Сельхоз,№10,0,,,Шелк,
снежный,0,0,,,,,Бархатный лепесток,000,0,,,Габардин Альфа,
Аквамарин,0,0,,,,,Садовод Саид,777-103,0,,,Бархат Бета,
Морозная мята,0,0,,,,,"Алмас Дима, Реутовская мануфактура",almas 5018-28,0,,,Бархат Бета,
Малиновый,0,0,,,,,Садовод Рамазан, Decoreto 21,0,,,Бархат Бета,
,0,0,,,,,,,0,,,Лен,
Мех букле белый,0,0,,,,,Стартекс,,0,,,Разное,
Парча Юми серебро,0,0,,,,,,,0,,,Разное,
Парча Юми золото,0,0,,,,,,,0,,,Разное,
Каппа Диор зеленый,0,0,,,,,Айсулы,,0,,,Разное,
Мелисса,0,0,,,,,"Гуля, Садовод",без черной нитки,0,,,Шелк,
Зеленая пастель,0,0,,,,,"Ахмед, Садовод",Hurrem(18156) цвет 382,0,,,Шелк,
Шоколадный,0,0,,"Пуфы Квадро, Пуфы Фуфик",,,Реутовская мануфактура,312-28,0,,,Бархат Бета,
,0,0,,,,,,,0,,,Разное,
Сливочный (масло),0,0,,,,,софия реутов мануфактура,софия 94,0,,,Канвас Гамма,
,0,0,,,,,,,0,,,Бархат Бета,
Зеленый малахит,0,0,,Чехлы Марсель,,,Шер,312-101,0,,,Бархат Бета,
Лимонадный,0,0,,,,,,403,0,,,Габардин Альфа,
Серый бархат стулья,0,0,,Чехлы Вашингтон,,,"Реутовская мануфактура, Шер",312-105,0,,,Бархат Бета,
